price,volume,time,buy/sell,market/limit,misc
0.77977100,41.64283515,2025-02-15 22:58:48.486449957,b,l,
0.78061700,42.84284185,2025-02-15 22:58:51.286411047,b,l,
0.78049500,17.60000000,2025-02-15 22:58:53.719689846,s,l,
0.77992900,120.41230910,2025-02-15 22:59:08.731439590,b,l,
0.77874500,212.46961087,2025-02-15 23:00:56.217700243,b,l,
0.78090800,290.66374838,2025-02-15 23:02:18.225323677,s,l,
0.77947300,112.53295496,2025-02-15 23:03:47.554477930,b,m,
0.77869000,9.23171100,2025-02-15 23:03:55.438485384,s,l,
0.77921400,1134.30000000,2025-02-15 23:04:42.749687433,b,m,
0.77921500,323.52849766,2025-02-15 23:04:42.749687433,b,m,
0.77941300,56.44271100,2025-02-15 23:05:59.510106802,s,m,
0.77908100,62.02125676,2025-02-15 23:09:07.963955641,b,l,
0.77942200,77.85332000,2025-02-15 23:15:09.348468304,s,m,
0.77960000,46.68713058,2025-02-15 23:15:16.062906742,b,l,
0.77964500,5.73176125,2025-02-15 23:15:24.721571684,b,l,
0.77966600,4.41772687,2025-02-15 23:15:28.705764055,b,l,
0.78001800,28.72845179,2025-02-15 23:15:41.000862598,b,l,
0.78003000,50.58544396,2025-02-15 23:15:46.404517889,b,l,
0.78043700,15.88647606,2025-02-15 23:16:16.536023617,b,l,
0.78038600,15.77404600,2025-02-15 23:16:20.298240423,s,l,
0.78022200,5000.00000000,2025-02-15 23:18:12.130673884,b,l,
0.78022200,5000.00000000,2025-02-15 23:18:14.334271908,b,l,
0.78022200,4097.70000000,2025-02-15 23:18:16.524045467,b,l,
0.78046400,33.82392752,2025-02-15 23:18:30.943835735,b,l,
0.78046600,32.54292150,2025-02-15 23:18:30.943835735,b,l,
0.78060200,2077.48219635,2025-02-15 23:18:33.307234764,b,l,
0.78064000,5000.00000000,2025-02-15 23:18:36.827835560,b,l,
0.78048700,1306.38571728,2025-02-15 23:18:55.586156845,b,l,
0.78050900,1306.44959515,2025-02-15 23:18:58.588819742,b,l,
0.78058600,1306.33918630,2025-02-15 23:19:00.910963535,b,l,
0.78061000,1306.33817801,2025-02-15 23:19:02.953674078,b,l,
0.78058600,1306.34938735,2025-02-15 23:19:05.075747252,b,l,
0.78059600,1306.33007543,2025-02-15 23:19:08.949045181,b,l,
0.78059600,990.00000000,2025-02-15 23:19:08.949045181,b,l,
0.78060700,1306.36646359,2025-02-15 23:19:12.810520887,b,l,
0.78060800,1306.35167558,2025-02-15 23:19:14.995652437,b,l,
0.78041400,1265.95546528,2025-02-15 23:19:31.415388346,b,l,
0.78041800,3734.04453472,2025-02-15 23:19:31.415388346,b,l,
0.78053700,1046.68165711,2025-02-15 23:19:46.647381544,b,l,
0.78054800,894.70640464,2025-02-15 23:19:51.356921911,b,l,
0.78063100,5000.00000000,2025-02-15 23:20:01.964596987,b,l,
0.78063100,5000.00000000,2025-02-15 23:20:04.476412296,b,l,
0.78063100,4088.40000000,2025-02-15 23:20:07.917368174,b,l,
0.78063100,825.61709337,2025-02-15 23:20:07.917368174,b,l,
0.78065900,40.29274231,2025-02-15 23:20:12.335602522,b,l,
0.78067400,49.28606525,2025-02-15 23:20:14.730150461,b,l,
0.78073300,18.45283905,2025-02-15 23:20:17.085537434,b,l,
0.78064500,688.18836912,2025-02-15 23:20:41.636454821,b,l,
0.78093700,655.96390600,2025-02-15 23:21:05.286599874,b,l,
0.78103300,8.26683596,2025-02-15 23:21:08.160523176,b,l,
0.78113300,601.40267591,2025-02-15 23:21:17.485965490,b,l,
0.78118400,529.20426857,2025-02-15 23:21:30.701785088,b,l,
0.78111800,101.26610992,2025-02-15 23:21:50.236101389,b,m,
0.78111800,363.01684651,2025-02-15 23:21:50.290833950,b,l,
0.78131500,36.42128087,2025-02-15 23:22:20.346036196,b,l,
0.78131500,422.52612611,2025-02-15 23:22:31.203807592,b,l,
0.78139800,26.13216449,2025-02-15 23:22:54.897634983,b,l,
0.78146200,8.22645078,2025-02-15 23:22:56.952260017,b,l,
0.78146300,8.28125315,2025-02-15 23:22:56.952260017,b,l,
0.78157900,389.73656225,2025-02-15 23:23:26.574813366,b,l,
0.78166000,19.75750212,2025-02-15 23:23:29.717191696,b,l,
0.78185200,46.62286921,2025-02-15 23:23:49.353375673,b,l,
0.78232700,17.20693199,2025-02-15 23:23:52.038599014,b,l,
0.78237600,4.95250000,2025-02-15 23:25:09.698231697,s,m,
0.78243200,396.53386209,2025-02-15 23:26:02.264602184,b,l,
0.78248500,13.35624218,2025-02-15 23:26:08.102996826,b,l,
0.78256400,19.75479676,2025-02-15 23:26:10.129823208,b,l,
0.78270500,362.02048022,2025-02-15 23:26:34.626708984,b,l,
0.78207200,290.84045283,2025-02-15 23:28:30.228077412,b,l,
0.78214500,297.12201714,2025-02-15 23:28:32.816045761,b,l,
0.78243700,230.86627260,2025-02-15 23:30:35.600700140,b,l,
0.78273000,230.14459898,2025-02-15 23:30:52.691469193,b,l,
0.78294500,27.32354532,2025-02-15 23:31:24.615879774,b,l,
0.78315500,51.63625770,2025-02-15 23:31:44.926452398,b,l,
0.78324400,33.75614167,2025-02-15 23:31:47.102593660,b,l,
0.78288600,247.60868876,2025-02-15 23:33:04.233925343,b,l,
0.78311900,242.73773649,2025-02-15 23:33:07.933690786,b,l,
0.78326700,19.66724736,2025-02-15 23:33:45.590403080,b,l,
0.78326700,242.54315552,2025-02-15 23:33:45.590403080,b,l,
0.78328800,5.65006935,2025-02-15 23:33:47.935777426,b,l,
0.78331100,22.27354337,2025-02-15 23:33:51.054713011,b,l,
0.78331100,235.22175728,2025-02-15 23:33:51.054713011,b,l,
0.78302800,3191.93925956,2025-02-15 23:35:08.461948633,s,l,
0.78298800,3192.10495625,2025-02-15 23:35:08.461948633,s,l,
0.78294100,231.15043863,2025-02-15 23:35:08.461948633,s,l,
0.78287800,1526.56133319,2025-02-15 23:35:08.461948633,s,l,
0.78287700,2389.04401237,2025-02-15 23:35:08.461948633,s,l,
0.78242900,1880.10393794,2025-02-15 23:35:08.756820679,s,l,
0.78212400,257.70418932,2025-02-15 23:35:20.229577303,b,l,
0.78270700,253.14000210,2025-02-15 23:36:23.219776869,b,l,
0.78273600,263.29284010,2025-02-15 23:36:26.542563200,b,l,
0.78304100,243.77932384,2025-02-15 23:36:39.577304125,b,l,
0.78319700,5000.00000000,2025-02-15 23:39:22.831661463,s,l,
0.78231900,268.61324534,2025-02-15 23:41:06.085747242,b,l,
0.78253900,247.90276877,2025-02-15 23:41:44.808816671,b,l,
0.78211300,241.13920515,2025-02-15 23:42:57.280252695,b,l,
0.78225000,234.61741576,2025-02-15 23:43:05.910992861,b,l,
0.78225400,320.40008000,2025-02-15 23:44:00.410770178,s,l,
0.78191200,320.48016000,2025-02-15 23:45:08.001411676,s,l,
0.78156100,5000.00000000,2025-02-15 23:45:21.440890551,b,l,
0.78176600,207.59039404,2025-02-15 23:45:47.326425076,b,l,
0.78178800,5000.00000000,2025-02-15 23:45:49.370065212,b,l,
0.78178800,5000.00000000,2025-02-15 23:45:54.125310182,b,l,
0.78164500,46.96646400,2025-02-15 23:48:44.522453308,s,m,
0.78040200,251.13018200,2025-02-15 23:51:28.395766020,b,l,
0.78106900,5000.00000000,2025-02-15 23:57:47.986587286,s,l,
