price,volume,time,buy/sell,market/limit,misc
2687.02000,0.01078921,2025-02-15 14:53:51.899621010,s,m,
2687.02000,0.02732708,2025-02-15 14:53:51.899621010,s,m,
2686.16000,0.16800145,2025-02-15 14:54:44.275379181,b,l,
2686.16000,0.02908506,2025-02-15 14:54:44.388176680,b,l,
2687.03000,0.40000000,2025-02-15 14:54:51.334508657,b,l,
2688.33000,0.00247263,2025-02-15 14:55:25.562155962,b,l,
2690.27000,0.00826843,2025-02-15 14:56:09.172335863,s,l,
2690.83000,0.00228820,2025-02-15 14:57:32.441521168,b,m,
2691.06000,0.09376180,2025-02-15 14:57:32.441521168,b,m,
2690.35000,0.00787331,2025-02-15 15:01:09.535815716,s,l,
2692.58000,0.01075297,2025-02-15 15:01:28.645363092,s,l,
2692.57000,0.12959482,2025-02-15 15:01:28.645363092,s,l,
2692.93000,0.01075174,2025-02-15 15:02:09.695263386,s,l,
2692.92000,0.02554682,2025-02-15 15:02:09.695263386,s,l,
2694.26000,0.01506908,2025-02-15 15:04:28.816254616,b,l,
2696.57000,0.17980669,2025-02-15 15:05:51.981276751,b,l,
2696.57000,0.03113434,2025-02-15 15:05:51.981276751,b,l,
2696.57000,0.14867235,2025-02-15 15:05:51.985963821,b,l,
2696.58000,0.13045952,2025-02-15 15:05:51.985963821,b,l,
2696.58000,0.04934717,2025-02-15 15:05:51.988367319,b,l,
2696.58000,0.08370582,2025-02-15 15:05:51.988367319,b,l,
2696.58000,0.10609245,2025-02-15 15:05:51.988367319,b,l,
2696.58000,0.07370076,2025-02-15 15:05:51.994545460,b,l,
2696.58000,0.12721723,2025-02-15 15:05:51.994545460,b,l,
2696.58000,0.00200000,2025-02-15 15:05:52.002212524,b,l,
2696.58000,0.05058048,2025-02-15 15:05:52.025220871,b,l,
2696.58000,0.09609188,2025-02-15 15:05:52.025220871,b,l,
2694.84000,0.00457039,2025-02-15 15:09:38.544226170,b,m,
2695.22000,0.14384114,2025-02-15 15:09:38.544226170,b,m,
2694.83000,0.02714179,2025-02-15 15:09:51.758720636,s,l,
2692.54000,0.17208850,2025-02-15 15:21:16.956273079,s,m,
2689.23000,0.00113571,2025-02-15 15:26:08.042353630,b,l,
2689.20000,2.55200000,2025-02-15 15:29:10.816731215,s,l,
2688.93000,0.77200000,2025-02-15 15:29:10.816731215,s,l,
2688.93000,0.26600000,2025-02-15 15:29:10.816731215,s,l,
2688.28000,0.17326630,2025-02-15 15:31:41.558966398,s,m,
2684.22000,0.18248823,2025-02-15 15:33:58.235818624,b,l,
2688.28000,0.03723885,2025-02-15 15:36:19.285275698,b,l,
2691.83000,0.00183282,2025-02-15 15:46:05.608587027,b,l,
2689.50000,0.84627249,2025-02-15 15:49:49.697876215,b,l,
2689.52000,0.74096547,2025-02-15 15:49:49.697876215,b,l,
2689.78000,0.07028469,2025-02-15 15:53:46.883692265,b,m,
2689.76000,0.03514234,2025-02-15 15:53:49.385560274,b,m,
2688.75000,0.01859600,2025-02-15 15:54:34.241904497,b,m,
2687.72000,0.03515672,2025-02-15 15:55:37.937336922,b,m,
2691.40000,0.03719701,2025-02-15 16:03:42.170638084,b,l,
2692.60000,0.00556902,2025-02-15 16:04:16.766187429,s,m,
2691.43000,0.03715055,2025-02-15 16:05:02.517662287,s,m,
2693.13000,0.13734581,2025-02-15 16:05:19.595337629,s,m,
2693.31000,0.03712448,2025-02-15 16:05:22.897379398,s,m,
2692.50000,0.03634844,2025-02-15 16:05:34.416637421,s,l,
2688.35000,0.04976409,2025-02-15 16:09:37.720456123,s,l,
2687.21000,0.00558197,2025-02-15 16:10:48.087777376,s,m,
2687.21000,0.16461215,2025-02-15 16:11:39.547737598,s,l,
2684.54000,0.00558634,2025-02-15 16:12:24.010679960,s,m,
2685.48000,0.01073571,2025-02-15 16:12:44.262882471,s,l,
2685.47000,1.42558144,2025-02-15 16:12:44.262882471,s,l,
2687.87000,0.05966945,2025-02-15 16:15:52.386485100,b,m,
2687.87000,0.01072686,2025-02-15 16:16:02.928928614,b,l,
2687.87000,0.01072686,2025-02-15 16:16:03.174054623,b,l,
2687.87000,0.01072691,2025-02-15 16:16:03.381941795,b,l,
2687.87000,0.07795780,2025-02-15 16:16:03.629418850,b,l,
2688.99000,0.01072267,2025-02-15 16:16:22.839026213,b,l,
2688.99000,0.01072255,2025-02-15 16:16:23.847921848,b,l,
2688.99000,0.01072255,2025-02-15 16:16:24.270363808,b,l,
2688.99000,0.01072255,2025-02-15 16:16:24.699836016,b,l,
2688.99000,0.01072255,2025-02-15 16:16:25.134921312,b,l,
2688.99000,0.01072256,2025-02-15 16:16:25.568567038,b,l,
2688.99000,0.01072256,2025-02-15 16:16:26.002743721,b,l,
2688.99000,0.08400000,2025-02-15 16:16:26.188694954,b,l,
2688.99000,0.01075027,2025-02-15 16:16:26.191269636,b,l,
2692.48000,0.06271705,2025-02-15 16:18:13.911249638,b,m,
2692.50000,0.03718345,2025-02-15 16:18:20.119800568,b,m,
2692.68000,0.16279782,2025-02-15 16:18:20.119800568,b,m,
2692.50000,0.00388490,2025-02-15 16:18:32.320611477,b,m,
2692.27000,0.25000000,2025-02-15 16:19:34.147418976,b,m,
2692.28000,1.05001430,2025-02-15 16:19:34.147418976,b,m,
2693.70000,0.00301151,2025-02-15 16:20:45.154592514,b,l,
2694.23000,0.01071470,2025-02-15 16:25:34.449389458,s,l,
2694.22000,0.02513633,2025-02-15 16:25:34.449389458,s,l,
2695.41000,0.00202212,2025-02-15 16:28:10.652623892,s,m,
2696.69000,0.01770495,2025-02-15 16:29:49.291556597,b,m,
2696.57000,0.25000000,2025-02-15 16:30:01.710605145,b,l,
2696.58000,1.00000000,2025-02-15 16:30:01.710605145,b,l,
2696.62000,0.74946893,2025-02-15 16:30:01.710605145,b,l,
2694.19000,0.60440032,2025-02-15 16:32:46.226889610,s,l,
2692.64000,0.02268684,2025-02-15 16:33:20.027952671,b,l,
2691.67000,0.01514782,2025-02-15 16:39:56.122207880,b,m,
2691.67000,0.00752644,2025-02-15 16:41:50.990509987,b,m,
2691.57000,0.00679880,2025-02-15 16:41:53.201611280,b,l,
2688.99000,0.03718165,2025-02-15 16:44:31.509750366,s,l,
2688.99000,0.03718165,2025-02-15 16:44:31.509750366,s,l,
2688.99000,0.03718165,2025-02-15 16:44:31.509750366,s,l,
2688.82000,0.18019351,2025-02-15 16:44:33.050933599,s,l,
2687.69000,0.15000001,2025-02-15 16:45:17.252662897,s,l,
2687.69000,0.03019350,2025-02-15 16:45:19.280684710,s,l,
2686.58000,0.17020956,2025-02-15 16:45:41.401633501,s,l,
2686.58000,0.17024122,2025-02-15 16:45:41.401633501,s,l,
2685.60000,0.03722859,2025-02-15 16:45:46.599352360,s,l,
2685.30000,0.00558578,2025-02-15 16:46:00.958937645,s,m,
2686.53000,0.00618937,2025-02-15 16:48:00.649513721,b,m,
2686.65000,0.00544632,2025-02-15 16:49:24.824342966,b,l,
2686.65000,0.16435812,2025-02-15 16:49:28.098465443,b,l,
2687.69000,0.01579119,2025-02-15 16:49:56.691591740,b,l,
2687.71000,0.02322834,2025-02-15 16:49:56.691591740,b,l,
2687.71000,0.00250036,2025-02-15 16:50:02.976948023,b,l,
2685.91000,0.01080234,2025-02-15 16:52:13.066013336,s,m,
2685.90000,0.07001139,2025-02-15 16:52:13.066013336,s,m,
2687.71000,0.00973997,2025-02-15 16:59:49.028925657,b,l,
2687.71000,0.00206333,2025-02-15 17:00:06.295958519,b,l,
2687.71000,0.00779198,2025-02-15 17:00:06.396424770,b,l,
2687.70000,0.01080705,2025-02-15 17:00:30.635171413,s,l,
2687.70000,0.02561223,2025-02-15 17:00:30.635171413,s,l,
2687.71000,0.03814722,2025-02-15 17:00:56.344748020,b,l,
2687.70000,0.03874663,2025-02-15 17:01:19.735474586,s,m,
2687.71000,0.00376109,2025-02-15 17:02:05.204187632,b,l,
2687.71000,0.07918637,2025-02-15 17:02:06.726873636,b,m,
2687.71000,0.01338803,2025-02-15 17:02:17.255174398,b,m,
2687.80000,0.02611960,2025-02-15 17:02:17.255174398,b,m,
2687.80000,0.01081644,2025-02-15 17:02:18.917327404,b,l,
2687.80000,0.01081644,2025-02-15 17:02:19.136023283,b,l,
2687.80000,0.01081644,2025-02-15 17:02:28.630186081,b,l,
2687.80000,0.01081644,2025-02-15 17:02:28.951210022,b,l,
2687.80000,0.01081644,2025-02-15 17:02:29.186829567,b,l,
2687.80000,0.01081644,2025-02-15 17:02:29.624573231,b,l,
2687.80000,0.01081644,2025-02-15 17:02:30.058675051,b,l,
2687.80000,0.01081630,2025-02-15 17:02:30.505703449,b,l,
2687.80000,0.01081629,2025-02-15 17:02:30.936271906,b,l,
2687.80000,0.05633942,2025-02-15 17:02:31.289511442,b,l,
2687.80000,0.06762730,2025-02-15 17:02:31.289511442,b,l,
2687.99000,0.01081553,2025-02-15 17:02:31.523091078,b,l,
2687.99000,0.01081553,2025-02-15 17:02:31.953500032,b,l,
2687.99000,0.01081559,2025-02-15 17:02:32.387286186,b,l,
2687.99000,0.14735106,2025-02-15 17:02:32.464234829,b,l,
2688.07000,0.01081527,2025-02-15 17:02:32.821250916,b,l,
2688.07000,0.01081539,2025-02-15 17:02:34.466431379,b,l,
2688.07000,0.01081539,2025-02-15 17:02:34.900196314,b,l,
2688.07000,0.00526638,2025-02-15 17:02:35.334492683,b,l,
2688.07000,0.00554901,2025-02-15 17:02:35.334492683,b,l,
2688.07000,0.01081539,2025-02-15 17:02:35.766060114,b,l,
2688.07000,0.12571639,2025-02-15 17:02:35.935969114,b,l,
2689.45000,0.00464422,2025-02-15 17:03:07.614852667,b,l,
2693.78000,0.00350522,2025-02-15 17:05:18.215115070,b,l,
2691.72000,0.00036602,2025-02-15 17:06:09.042654276,b,l,
2690.65000,2.36700000,2025-02-15 17:13:51.016971827,s,l,
2690.52000,0.01100618,2025-02-15 17:13:51.016971827,s,l,
2690.51000,7.35516028,2025-02-15 17:13:51.016971827,s,l,
2687.44000,0.01109396,2025-02-15 17:17:57.448937178,b,l,
2687.45000,0.02882446,2025-02-15 17:17:57.448937178,b,l,
2687.76000,0.01109456,2025-02-15 17:18:17.775482893,s,m,
2687.75000,0.00448293,2025-02-15 17:18:17.775482893,s,m,
2687.26000,0.04148842,2025-02-15 17:19:44.519871235,s,m,
2687.26000,0.12870672,2025-02-15 17:20:13.993427992,s,l,
2686.07000,0.00629017,2025-02-15 17:21:40.406096220,s,l,
2686.07000,0.03093189,2025-02-15 17:21:40.433746338,s,l,
2685.94000,0.00670596,2025-02-15 17:23:16.844221354,s,l,
2685.40000,0.00478677,2025-02-15 17:26:45.493822813,b,l,
2685.40000,0.03243638,2025-02-15 17:26:45.493822813,b,l,
2684.17000,0.07042442,2025-02-15 17:31:30.752820253,s,l,
2684.17000,0.09982599,2025-02-15 17:31:39.165340185,s,l,
2683.20000,0.03642424,2025-02-15 17:35:30.566128969,s,l,
2681.87000,0.18020027,2025-02-15 17:35:32.206403732,s,l,
2681.48000,0.01135307,2025-02-15 17:42:48.026159763,s,m,
2681.47000,0.02719870,2025-02-15 17:42:48.026159763,s,m,
2683.37000,0.01134536,2025-02-15 17:46:50.858603001,s,m,
2683.37000,0.08265621,2025-02-15 17:46:50.858603001,s,m,
2683.37000,0.00789294,2025-02-15 17:47:16.545909166,s,l,
2683.38000,0.17980669,2025-02-15 17:47:50.585395575,b,l,
2683.38000,0.06652139,2025-02-15 17:47:50.585395575,b,l,
2683.37000,0.00618937,2025-02-15 17:49:11.254397631,s,m,
2683.38000,0.00565481,2025-02-15 17:50:41.944443941,b,l,
2683.38000,0.10763049,2025-02-15 17:51:20.094035149,b,l,
2685.02000,0.00563000,2025-02-15 17:51:21.755677223,s,m,
2682.63000,0.39818916,2025-02-15 17:54:09.033909082,b,l,
2682.87000,0.01140532,2025-02-15 17:55:45.205200672,s,m,
2685.02000,0.03729093,2025-02-15 18:02:28.911042929,b,l,
2685.02000,0.03727592,2025-02-15 18:02:28.911042929,b,l,
2685.02000,0.07461123,2025-02-15 18:02:28.911042929,b,l,
2685.03000,0.03641066,2025-02-15 18:02:28.911042929,b,l,
2687.14000,0.01142844,2025-02-15 18:02:34.250284432,s,m,
2687.13000,0.37693148,2025-02-15 18:02:34.250284432,s,m,
2687.82000,0.00595278,2025-02-15 18:04:25.012761354,b,l,
2689.58000,0.01114957,2025-02-15 18:05:15.294433355,b,l,
2690.51000,0.03720199,2025-02-15 18:05:44.718011618,b,l,
2690.51000,0.03720185,2025-02-15 18:05:44.718011618,b,l,
2692.16000,0.00670596,2025-02-15 18:06:15.917665005,b,m,
2691.66000,0.05572769,2025-02-15 18:06:22.318714142,b,m,
2692.00000,0.00593933,2025-02-15 18:07:20.790491343,b,l,
2691.94000,0.00594239,2025-02-15 18:09:28.791423082,b,l,
2690.16000,0.01115067,2025-02-15 18:10:52.950188875,s,m,
2690.78000,0.06631984,2025-02-15 18:12:58.745825768,b,m,
2690.23000,0.06928261,2025-02-15 18:14:04.773830652,b,m,
2690.66000,0.25421280,2025-02-15 18:14:20.512914180,b,m,
2690.49000,0.02311915,2025-02-15 18:15:04.773725033,b,m,
2690.10000,0.00446081,2025-02-15 18:15:08.098853588,s,l,
2690.10000,0.06552852,2025-02-15 18:15:08.098853588,s,l,
2690.17000,0.06335411,2025-02-15 18:16:39.500910521,s,l,
2690.04000,0.00297150,2025-02-15 18:18:51.124601364,s,m,
2690.04000,0.00148941,2025-02-15 18:18:56.857258320,s,l,
2687.34000,0.00212310,2025-02-15 18:19:11.556561232,b,m,
