price,volume,time,buy/sell,market/limit,misc
0.30570000,40.27887766,2025-02-08 18:26:24.332664728,s,m,
0.30720000,32.40860863,2025-02-08 18:28:50.970273018,s,l,
0.30710000,33.55893085,2025-02-08 18:39:03.205308914,s,l,
0.30690000,33.74177856,2025-02-08 18:40:59.217806101,s,l,
0.30690000,33.30632344,2025-02-08 18:41:11.215202093,s,l,
0.30770000,42.43468589,2025-02-08 18:49:37.374238253,b,l,
0.30780000,42.39458235,2025-02-08 18:50:37.155745745,b,l,
0.30760000,44.58073612,2025-02-08 19:01:03.066715001,s,l,
0.30740000,44.60970346,2025-02-08 19:01:44.675820589,s,l,
0.30670000,38.09542885,2025-02-08 19:02:51.136554718,s,m,
0.30730000,46.45427840,2025-02-08 19:04:36.384258747,s,l,
0.30710000,46.46938057,2025-02-08 19:04:52.970082998,s,l,
0.30780000,46.48895386,2025-02-08 19:05:23.070987701,b,l,
0.30640000,78.98970520,2025-02-08 19:08:26.406628132,s,m,
0.30710000,108.00000000,2025-02-08 19:11:00.611772776,b,l,
0.30660000,36.30879635,2025-02-08 19:22:05.479652166,s,l,
0.30740000,348.00000000,2025-02-08 19:23:05.490805864,s,l,
0.30730000,50.36883313,2025-02-08 19:23:41.451680660,s,l,
0.30730000,50.36883313,2025-02-08 19:23:48.690496683,s,l,
0.30810000,108.00000000,2025-02-08 19:30:02.821964741,s,l,
0.30840000,174.39832577,2025-02-08 19:32:10.387508869,b,l,
0.30810000,51.14075118,2025-02-08 19:35:29.773177862,s,l,
0.30770000,51.20714619,2025-02-08 19:36:16.441668749,s,l,
0.30780000,51.19053128,2025-02-08 19:38:09.030758619,s,l,
0.30820000,51.56555927,2025-02-08 19:40:57.424419880,b,l,
0.30740000,108.00000000,2025-02-08 19:43:05.932193995,s,l,
0.30670000,36.94421032,2025-02-08 19:44:41.581334114,s,m,
0.30760000,414.00000000,2025-02-08 19:45:02.932068110,b,l,
0.30660000,108.00000000,2025-02-08 19:45:28.117140293,s,l,
0.30490000,108.00000000,2025-02-08 19:45:30.781970739,s,m,
0.30490000,9642.50573958,2025-02-08 19:45:30.781970739,s,m,
