Date,EA,F,FLG,GE,GOOGL,GS,HD,HLT,HON,HWKN,EA_simple.return,EA_log.return,F_simple.return,F_log.return,FLG_simple.return,FLG_log.return,GE_simple.return,GE_log.return,GOOGL_simple.return,GOOGL_log.return,GS_simple.return,GS_log.return,HD_simple.return,HD_log.return,HLT_simple.return,HLT_log.return,HON_simple.return,HON_log.return,HWKN_simple.return,HWKN_log.return
2014-01-02,22.3,8.92,26.9,109.35,27.76,143.3,63.57,42.52,68.65,15.01,,,,,,,,,,,,,,,,,,,,
2014-01-03,22.16,8.96,26.93,109.27,27.55,144.32,63.47,42.81,68.8,14.98,-0.006278,-0.006298,0.004484,0.004474,0.001115,0.001115,-0.000732,-0.000732,-0.007565,-0.007594,0.007118,0.007093,-0.001573,-0.001574,0.00682,0.006797,0.002185,0.002183,-0.001999,-0.002001
2014-01-06,22.01,9.0,26.8,108.39,27.86,145.31,62.86,42.79,68.74,14.77,-0.006769,-0.006792,0.004464,0.004454,-0.004827,-0.004839,-0.008053,-0.008086,0.011252,0.011189,0.00686,0.006836,-0.009611,-0.009657,-0.000467,-0.000467,-0.000872,-0.000872,-0.014019,-0.014118
2014-01-07,22.57,8.89,27.23,108.51,28.4,144.44,63.17,42.79,69.02,14.81,0.025443,0.025125,-0.012222,-0.012298,0.016045,0.015917,0.001107,0.001107,0.019383,0.019197,-0.005987,-0.006005,0.004932,0.004919,0.0,0.0,0.004073,0.004065,0.002708,0.002705
2014-01-08,22.77,8.98,27.6,108.2,28.46,144.56,63.5,42.85,68.74,14.78,0.008861,0.008822,0.010124,0.010073,0.013588,0.013496,-0.002857,-0.002861,0.002113,0.00211,0.000831,0.00083,0.005224,0.00521,0.001402,0.001401,-0.004057,-0.004065,-0.002026,-0.002028
2014-01-09,22.23,9.15,27.82,108.24,28.18,143.71,63.22,42.54,68.77,14.83,-0.023715,-0.024001,0.018931,0.018754,0.007971,0.007939,0.00037,0.00037,-0.009838,-0.009887,-0.00588,-0.005897,-0.004409,-0.004419,-0.007235,-0.007261,0.000436,0.000436,0.003383,0.003377
2014-01-10,22.48,9.28,27.52,107.2,28.18,144.52,63.56,42.19,68.53,14.78,0.011246,0.011183,0.014208,0.014108,-0.010784,-0.010842,-0.009608,-0.009655,0.0,0.0,0.005636,0.005621,0.005378,0.005364,-0.008228,-0.008262,-0.00349,-0.003496,-0.003372,-0.003377
2014-01-13,21.86,9.31,27.42,106.29,28.0,142.48,62.76,42.24,67.55,14.77,-0.02758,-0.027968,0.003233,0.003228,-0.003634,-0.00364,-0.008489,-0.008525,-0.006388,-0.006408,-0.014116,-0.014216,-0.012587,-0.012666,0.001185,0.001184,-0.0143,-0.014404,-0.000677,-0.000677
2014-01-14,21.94,9.47,27.48,107.24,28.66,143.07,62.79,42.98,67.95,14.95,0.00366,0.003653,0.017186,0.01704,0.002188,0.002186,0.008938,0.008898,0.023571,0.023298,0.004141,0.004132,0.000478,0.000478,0.017519,0.017367,0.005922,0.005904,0.012187,0.012113
2014-01-15,21.42,9.65,27.68,108.71,28.64,144.81,62.83,42.61,68.34,14.95,-0.023701,-0.023986,0.019007,0.018829,0.007278,0.007252,0.013708,0.013614,-0.000698,-0.000698,0.012162,0.012089,0.000637,0.000637,-0.008609,-0.008646,0.00574,0.005723,0.0,0.0
2014-01-16,21.04,9.67,27.6,108.16,28.83,141.91,62.98,42.71,68.45,14.99,-0.01774,-0.0179,0.002073,0.00207,-0.00289,-0.002894,-0.005059,-0.005072,0.006634,0.006612,-0.020026,-0.020229,0.002387,0.002385,0.002347,0.002344,0.00161,0.001608,0.002676,0.002672
2014-01-17,23.54,9.54,27.55,105.69,28.69,142.81,62.78,43.27,68.37,14.74,0.118821,0.112276,-0.013444,-0.013535,-0.001812,-0.001813,-0.022837,-0.023101,-0.004856,-0.004868,0.006342,0.006322,-0.003176,-0.003181,0.013112,0.013026,-0.001169,-0.001169,-0.016678,-0.016818
2014-01-21,23.76,9.48,27.81,104.54,29.02,140.31,62.36,42.63,68.86,14.65,0.009346,0.009302,-0.006289,-0.006309,0.009437,0.009393,-0.010881,-0.010941,0.011502,0.011437,-0.017506,-0.017661,-0.00669,-0.006713,-0.014791,-0.014901,0.007167,0.007141,-0.006106,-0.006125
2014-01-22,23.61,9.56,28.07,103.34,29.05,140.7,62.16,43.68,69.24,14.82,-0.006313,-0.006333,0.008439,0.008403,0.009349,0.009306,-0.011479,-0.011545,0.001034,0.001033,0.00278,0.002776,-0.003207,-0.003212,0.024631,0.024332,0.005518,0.005503,0.011604,0.011537
2014-01-23,23.32,9.49,27.89,102.67,28.93,138.33,62.19,44.07,68.26,14.67,-0.012283,-0.012359,-0.007322,-0.007349,-0.006413,-0.006433,-0.006483,-0.006505,-0.004131,-0.004139,-0.016844,-0.016988,0.000483,0.000483,0.008929,0.008889,-0.014154,-0.014255,-0.010121,-0.010173
2014-01-24,23.29,9.15,27.18,99.21,28.02,135.81,61.35,43.66,67.25,14.62,-0.001286,-0.001287,-0.035827,-0.036485,-0.025457,-0.025787,-0.0337,-0.034281,-0.031455,-0.031961,-0.018217,-0.018385,-0.013507,-0.013599,-0.009303,-0.009347,-0.014796,-0.014907,-0.003408,-0.003414
2014-01-27,23.91,9.08,27.08,99.69,27.46,133.42,61.18,42.77,68.63,14.59,0.026621,0.026273,-0.00765,-0.00768,-0.003679,-0.003686,0.004838,0.004827,-0.019986,-0.020188,-0.017598,-0.017755,-0.002771,-0.002775,-0.020385,-0.020595,0.02052,0.020313,-0.002052,-0.002054
2014-01-28,24.3,9.08,27.06,101.24,28.0,134.68,60.87,42.59,68.75,14.6,0.016311,0.01618,0.0,0.0,-0.000739,-0.000739,0.015548,0.015429,0.019665,0.019474,0.009444,0.0094,-0.005067,-0.00508,-0.004209,-0.004217,0.001749,0.001747,0.000685,0.000685
2014-01-29,24.64,8.89,26.48,100.56,27.6,132.78,59.43,42.13,68.21,14.37,0.013992,0.013895,-0.020925,-0.021147,-0.021434,-0.021667,-0.006717,-0.006739,-0.014286,-0.014389,-0.014108,-0.014208,-0.023657,-0.023941,-0.010801,-0.010859,-0.007855,-0.007886,-0.015753,-0.015879
2014-01-30,25.43,8.88,26.46,101.4,28.31,134.35,59.62,42.13,69.7,14.57,0.032062,0.031558,-0.001125,-0.001125,-0.000755,-0.000756,0.008353,0.008319,0.025725,0.025399,0.011824,0.011755,0.003197,0.003192,0.0,0.0,0.021844,0.021609,0.013918,0.013822
2014-01-31,25.79,8.71,26.21,99.92,29.45,132.96,59.56,42.11,69.34,14.44,0.014157,0.014057,-0.019144,-0.01933,-0.009448,-0.009493,-0.014596,-0.014703,0.040268,0.039479,-0.010346,-0.0104,-0.001006,-0.001007,-0.000475,-0.000475,-0.005165,-0.005178,-0.008922,-0.008962
2014-02-03,25.48,8.47,25.14,96.82,28.26,129.47,58.2,40.75,67.46,14.42,-0.01202,-0.012093,-0.027555,-0.027941,-0.040824,-0.041681,-0.031025,-0.031516,-0.040407,-0.041247,-0.026248,-0.026599,-0.022834,-0.023099,-0.032296,-0.032829,-0.027113,-0.027487,-0.001385,-0.001386
2014-02-04,25.58,8.66,25.28,97.7,28.38,131.04,58.1,40.9,68.23,14.15,0.003925,0.003917,0.022432,0.022184,0.005569,0.005553,0.009089,0.009048,0.004246,0.004237,0.012126,0.012053,-0.001718,-0.00172,0.003681,0.003674,0.011414,0.01135,-0.018724,-0.018902
2014-02-05,25.56,8.58,25.3,97.5,28.51,129.96,58.33,40.45,68.1,13.95,-0.000782,-0.000782,-0.009238,-0.009281,0.000791,0.000791,-0.002047,-0.002049,0.004581,0.00457,-0.008242,-0.008276,0.003959,0.003951,-0.011002,-0.011063,-0.001905,-0.001907,-0.014134,-0.014235
2014-02-06,25.85,8.65,25.25,99.21,28.92,131.04,59.03,41.23,69.28,13.88,0.011346,0.011282,0.008159,0.008125,-0.001976,-0.001978,0.017538,0.017386,0.014381,0.014278,0.00831,0.008276,0.012001,0.011929,0.019283,0.0191,0.017327,0.017179,-0.005018,-0.005031
2014-02-07,26.57,8.72,25.25,100.16,29.36,131.18,59.25,42.11,70.81,13.82,0.027853,0.027472,0.008092,0.00806,0.0,0.0,0.009576,0.00953,0.015214,0.0151,0.001068,0.001068,0.003727,0.00372,0.021344,0.021119,0.022084,0.021844,-0.004323,-0.004332
2014-02-10,26.26,8.64,25.35,99.61,29.25,130.43,59.22,41.64,70.58,13.86,-0.011667,-0.011736,-0.009174,-0.009217,0.00396,0.003953,-0.005491,-0.005506,-0.003747,-0.003754,-0.005717,-0.005734,-0.000506,-0.000506,-0.011161,-0.011224,-0.003248,-0.003253,0.002894,0.00289
2014-02-11,26.78,8.71,25.64,101.12,29.68,133.18,59.45,42.19,71.57,14.08,0.019802,0.019608,0.008102,0.008069,0.01144,0.011375,0.015159,0.015045,0.014701,0.014594,0.021084,0.020865,0.003884,0.003876,0.013208,0.013122,0.014027,0.013929,0.015873,0.015748
2014-02-12,27.22,8.74,25.83,100.96,29.59,132.45,59.9,42.57,71.67,14.28,0.01643,0.016297,0.003444,0.003438,0.00741,0.007383,-0.001582,-0.001584,-0.003032,-0.003037,-0.005481,-0.005496,0.007569,0.007541,0.009007,0.008967,0.001397,0.001396,0.014205,0.014105
2014-02-13,26.92,8.78,25.64,101.16,29.92,132.91,60.14,42.69,71.85,14.27,-0.011021,-0.011082,0.004577,0.004566,-0.007356,-0.007383,0.001981,0.001979,0.011152,0.011091,0.003473,0.003467,0.004007,0.003999,0.002819,0.002815,0.002512,0.002508,-0.0007,-0.000701
2014-02-14,26.94,8.88,25.91,102.35,29.99,132.63,60.4,42.79,71.91,14.23,0.000743,0.000743,0.01139,0.011325,0.01053,0.010475,0.011764,0.011695,0.00234,0.002337,-0.002107,-0.002109,0.004323,0.004314,0.002342,0.00234,0.000835,0.000835,-0.002803,-0.002807
2014-02-18,27.75,8.96,25.94,101.99,30.19,133.39,60.12,42.32,71.72,14.34,0.030067,0.029624,0.009009,0.008969,0.001158,0.001157,-0.003517,-0.003524,0.006669,0.006647,0.00573,0.005714,-0.004636,-0.004647,-0.010984,-0.011045,-0.002642,-0.002646,0.00773,0.0077
2014-02-19,27.27,8.88,25.3,101.0,29.98,132.26,59.25,41.87,70.65,14.3,-0.017297,-0.017449,-0.008929,-0.008969,-0.024672,-0.024982,-0.009707,-0.009754,-0.006956,-0.00698,-0.008471,-0.008507,-0.014471,-0.014577,-0.010633,-0.01069,-0.014919,-0.015032,-0.002789,-0.002793
2014-02-20,27.15,8.89,25.63,100.76,30.02,133.26,60.05,41.8,71.11,14.53,-0.0044,-0.00441,0.001126,0.001125,0.013043,0.012959,-0.002376,-0.002379,0.001334,0.001333,0.007561,0.007532,0.013502,0.013412,-0.001672,-0.001673,0.006511,0.00649,0.016084,0.015956
2014-02-21,27.35,8.83,25.89,100.04,30.02,133.26,60.25,43.08,71.4,14.5,0.007366,0.007339,-0.006749,-0.006772,0.010144,0.010093,-0.007146,-0.007171,0.0,0.0,0.0,0.0,0.003331,0.003325,0.030622,0.030163,0.004078,0.00407,-0.002065,-0.002067
